Id,Label,timeset,0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,pageranks
3GTKxZykRVH1eqAPnEepWTJMNdAXexeMCH,3GTKxZykRVH1eqAPnEepWTJMNdAXexeMCH,,Bitcoin Wallet,5,0.269456,0.274383,0,11,0,0,0.000272
1KpEF2aj2MXFnbPVyuHGwB5EjUhwoafJjF,1KpEF2aj2MXFnbPVyuHGwB5EjUhwoafJjF,,Bitcoin Wallet,5,0.271866,0.278495,0,4,0,0,0.000263
17ZmbotCuX724uZSaG8pjuDNRej1VHhzeM,17ZmbotCuX724uZSaG8pjuDNRej1VHhzeM,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1GU8MSaK88z5w5opFsAFcNcPKfqSEsx8gM,1GU8MSaK88z5w5opFsAFcNcPKfqSEsx8gM,,Bitcoin Wallet,5,0.269456,0.274383,0,11,0,0,0.000272
18XbuKaGmZ2nUvHCyi4VnLzcqW7WZSaxPt,18XbuKaGmZ2nUvHCyi4VnLzcqW7WZSaxPt,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1336jJbZrnk4xAQqm8PmfczZa1nqem5MCF,1336jJbZrnk4xAQqm8PmfczZa1nqem5MCF,,Bitcoin Wallet,4,0.368646,0.381471,0,11,0,0,0.000238
12tWzrcLGLbp4RqUEFBcHYpqCwGgq2KKbf,12tWzrcLGLbp4RqUEFBcHYpqCwGgq2KKbf,,Bitcoin Wallet,5,0.276152,0.285631,0,12,0,0,0.000261
1JNu8qwuXyPhqaQtJAhFAWEDbLuNzCxZWM,1JNu8qwuXyPhqaQtJAhFAWEDbLuNzCxZWM,,Bitcoin Wallet,5,0.269456,0.274383,0,11,0,0,0.000272
1GE2L3EDQJWtuDSJHcu1pTwg8N21pQDzrj,1GE2L3EDQJWtuDSJHcu1pTwg8N21pQDzrj,,Bitcoin Wallet,5,0.269456,0.274383,0,11,0,0,0.000272
1Ky4PjpkyGaA81gnjW5GsnL2XqtViDwdmZ,1Ky4PjpkyGaA81gnjW5GsnL2XqtViDwdmZ,,Bitcoin Wallet,5,0.273594,0.281398,0,1,0,0,0.000262
3Pgp2z855tER2EdRscXWBVjsmGpyp5Lm3w,3Pgp2z855tER2EdRscXWBVjsmGpyp5Lm3w,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1JHSQ5BpVyoxwrU7jjbwttRkU9ULkWztxN,1JHSQ5BpVyoxwrU7jjbwttRkU9ULkWztxN,,Bitcoin Wallet,5,0.276152,0.285631,0,12,0,0,0.000261
1Gakzkf2o5i34HnF2fL9BEkUJot6sZgrWn,1Gakzkf2o5i34HnF2fL9BEkUJot6sZgrWn,,Bitcoin Wallet,5,0.271866,0.278495,0,4,0,0,0.000263
1ECdTR1DxzETtz6hohDBb6PW3VDGLQi4jf,1ECdTR1DxzETtz6hohDBb6PW3VDGLQi4jf,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1Lwvasfyiz3RiZ5yFrMJ5bXdBsh3UFfR2P,1Lwvasfyiz3RiZ5yFrMJ5bXdBsh3UFfR2P,,Bitcoin Wallet,5,0.280423,0.292525,0,71,0,0,0.000261
1LkV8GnHnKRhMSgqnkPcv5CKZRru8obcZn,1LkV8GnHnKRhMSgqnkPcv5CKZRru8obcZn,,Bitcoin Wallet,5,0.269456,0.274383,0,11,0,0,0.000272
14eMeELxhpSrtDXqEimD3zAzEBGpyXMtHJ,14eMeELxhpSrtDXqEimD3zAzEBGpyXMtHJ,,Bitcoin Wallet,5,0.280423,0.292525,0,71,0,0,0.000261
1B4SYGzTENEJTUpqFaUzgq4ibZhSk6G9Js,1B4SYGzTENEJTUpqFaUzgq4ibZhSk6G9Js,,Bitcoin Wallet,4,0.368844,0.382035,2066,11,0.333333,1,0.000626
1PeHXp7SmDHfPJTYqAbmp491VcjxtW1yYJ,1PeHXp7SmDHfPJTYqAbmp491VcjxtW1yYJ,,Bitcoin Wallet,5,0.276152,0.285631,0,12,0,0,0.000261
1NsvXMoxFXFDK9JbCfvNmv18cvGzYXikCP,1NsvXMoxFXFDK9JbCfvNmv18cvGzYXikCP,,Bitcoin Wallet,4,0.368778,0.381793,2066,11,0,0,0.000468
1BKRQZ5bggH2MZt93sVW3TDYoJBx9RMrMp,1BKRQZ5bggH2MZt93sVW3TDYoJBx9RMrMp,,Bitcoin Wallet,4,0.368778,0.381793,2066,11,0,0,0.000468
388SAZTF35Xveuf59BqTWYeEwCFZB8N2bB,388SAZTF35Xveuf59BqTWYeEwCFZB8N2bB,,Bitcoin Wallet,5,0.271866,0.278495,0,4,0,0,0.000263
14QLE7nirMYQjnskJUfYyoZPNxaVaye3qV,14QLE7nirMYQjnskJUfYyoZPNxaVaye3qV,,Bitcoin Wallet,5,0.280423,0.292525,0,71,0,0,0.000261
